,Chimeric.Count,Enriched1_HDFplusRT.Count,Enriched1_LonzaDCplusRT.Count
AAV.126671,0.902386593614268,0,0
AAV.169855,0.902386593614268,0,1.00268025940172
AAV.110134,0.902386593614268,0,0
AAV.172743,0.902386593614268,0,3.00804077820516
AAV.175606,0.902386593614268,0,0
AAV.160971,0.902386593614268,0,0
AAV.105461,0.902386593614268,0,0
AAV.141039,0.902386593614268,0,0
AAV.157104,0.902386593614268,0,0
AAV.163233,0.902386593614268,0,0
AAV.162090,0.902386593614268,0,0
AAV.166352,0.902386593614268,0,0
AAV.177264,0.902386593614268,0,0
AAV.175602,0.902386593614268,0,0
AAV.175809,0.902386593614268,0,0
AAV.123375,0.902386593614268,0,0
AAV.181116,0.902386593614268,0,0
AAV.137060,0.676789945210701,0,0
AAV.168873,0.676789945210701,16.1649600824888,2.00536051880344
AAV.134485,0.676789945210701,0,0
AAV.162565,0.676789945210701,0,0
AAV.108245,0.676789945210701,0,0
AAV.117176,0.676789945210701,0,0
AAV.136335,0.676789945210701,0,0
AAV.156312,0.676789945210701,0,0
AAV.154414,0.676789945210701,0,0
AAV.168464,0.676789945210701,0,0
AAV.169766,0.676789945210701,0,0
AAV.176743,0.676789945210701,0,2.00536051880344
AAV.173233,0.676789945210701,0,0
AAV.165978,0.451193296807134,0,0
AAV.122782,0.451193296807134,0,0
AAV.184866,0.451193296807134,0,0
AAV.126271,0.451193296807134,0,0
AAV.140990,0.451193296807134,0,0
AAV.171153,0.451193296807134,0,0
AAV.144517,0.451193296807134,0,0
AAV.183752,0.451193296807134,0,0
AAV.182387,0.451193296807134,0,0
AAV.182388,0.451193296807134,0,0
AAV.129353,0.451193296807134,0,0
AAV.135383,0.451193296807134,0,0
AAV.151492,0.451193296807134,0,0
AAV.183772,0.451193296807134,0,0
AAV.151665,0.451193296807134,0,0
AAV.166888,0.451193296807134,0,0
AAV.111143,0.451193296807134,0,0
AAV.155403,0.451193296807134,0,0
AAV.103387,0.451193296807134,0,0
AAV.116877,0.451193296807134,0,0
AAV.110197,0.451193296807134,0,0
AAV.108584,0.451193296807134,0,0
AAV.106643,0.451193296807134,0,0
AAV.129734,0.451193296807134,0,0
AAV.141617,0.451193296807134,0,0
AAV.161603,0.225596648403567,0,0
AAV.178098,0.225596648403567,0,0
AAV.127489,0.225596648403567,0,0
AAV.157946,0.225596648403567,0,0
AAV.176104,0.225596648403567,0,0
AAV.180238,0.225596648403567,0,0
AAV.116128,0.225596648403567,0,0
AAV.186555,0.225596648403567,0,0
AAV.182685,0.225596648403567,0,0
AAV.127086,0.225596648403567,0,0
AAV.126948,0.225596648403567,12.1237200618666,0
AAV.149367,0.225596648403567,0,0
AAV.150605,0.225596648403567,0,0
